"host","port","database","username","password","table","input","type"
"localhost","3306","dwh","dwh","dwh","fb_campaigns_actions","output/fb_campaigns_actions.csv","fb_campaigns_actions"
"localhost","3306","dwh","dwh","dwh","fb_campaigns_stats","output/fb_campaigns_stats.csv","fb_campaigns_stats"
"localhost","3306","dwh","dwh","dwh","fb_campaigns","output/fb_campaigns.csv","fb_campaigns"
"localhost","3306","dwh","dwh","dwh","ga_campaigns_goals","output/ga_campaigns_goals.csv","ga_campaigns_goals"
"localhost","3306","dwh","dwh","dwh","ga_campaigns_stats","output/ga_campaigns_stats.csv","ga_campaigns_stats"
"localhost","3306","dwh","dwh","dwh","ga_campaigns","output/ga_campaigns.csv","ga_campaigns"
"localhost","3306","dwh","dwh","dwh","mailchimp_campaigns","output/mailchimp_campaigns.csv","mailchimp_campaigns"
"localhost","3306","dwh","dwh","dwh","gw_query","output/gw_query.csv","gw_query"
"localhost","3306","dwh","dwh","dwh","gw_page","output/gw_page.csv","gw_page"
"localhost","3306","dwh","dwh","dwh","gw_query_and_page","output/gw_query_and_page.csv","gw_query_and_page"
"localhost","3306","dwh","dwh","dwh","gw_query_page_country_and_device","output/gw_query_page_country_and_device.csv","gw_query_page_country_and_device"
